slug,title,closed,winner,endDate,volume,upMin,upMax,upLast,upTouched,upTouchTime,upTouchWon,upPoints,downMin,downMax,downLast,downTouched,downTouchTime,downTouchWon,downPoints,url,error
bitcoin-up-or-down-june-22-2026-6pm-et,"Bitcoin Up or Down - June 22, 6PM ET",False,,2026-06-22T23:00:00Z,38796.26794500002,0.0005,0.545,0.0005,True,2026-06-22T22:30:05+00:00,False,296,0.455,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-6pm-et,
bitcoin-up-or-down-june-22-2026-5pm-et,"Bitcoin Up or Down - June 22, 5PM ET",True,Down,2026-06-22T22:00:00Z,28044.138632000017,0.0005,0.525,0.0005,True,2026-06-22T21:30:04+00:00,False,295,0.475,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-5pm-et,
bitcoin-up-or-down-june-22-2026-4pm-et,"Bitcoin Up or Down - June 22, 4PM ET",True,Down,2026-06-22T21:00:00Z,35814.99793799997,0.0005,0.615,0.0005,True,2026-06-22T20:30:05+00:00,False,295,0.385,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-4pm-et,
bitcoin-up-or-down-june-22-2026-3pm-et,"Bitcoin Up or Down - June 22, 3PM ET",True,Up,2026-06-22T20:00:00Z,39886.10899999992,0.5,0.9995,0.9995,False,,False,295,0.0005,0.5,0.0005,True,2026-06-22T19:20:04+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-3pm-et,
bitcoin-up-or-down-june-22-2026-2pm-et,"Bitcoin Up or Down - June 22, 2PM ET",True,Down,2026-06-22T19:00:00Z,47730.83715099995,0.0005,0.635,0.0005,True,2026-06-22T18:40:05+00:00,False,295,0.365,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-2pm-et,
bitcoin-up-or-down-june-22-2026-1pm-et,"Bitcoin Up or Down - June 22, 1PM ET",True,Down,2026-06-22T18:00:00Z,35840.83189499998,0.0005,0.525,0.0005,True,2026-06-22T17:30:05+00:00,False,295,0.475,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-1pm-et,
bitcoin-up-or-down-june-22-2026-12pm-et,"Bitcoin Up or Down - June 22, 12PM ET",True,Down,2026-06-22T17:00:00Z,35650.63765599998,0.0005,0.525,0.0005,True,2026-06-22T16:10:04+00:00,False,295,0.475,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-12pm-et,
bitcoin-up-or-down-june-22-2026-11am-et,"Bitcoin Up or Down - June 22, 11AM ET",True,Down,2026-06-22T16:00:00Z,68488.03827799988,0.0005,0.755,0.0005,True,2026-06-22T15:50:05+00:00,False,295,0.245,0.9995,0.9995,True,2026-06-22T15:40:04+00:00,True,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-11am-et,
bitcoin-up-or-down-june-22-2026-10am-et,"Bitcoin Up or Down - June 22, 10AM ET",True,Down,2026-06-22T15:00:00Z,68629.304693,0.0005,0.5,0.0005,True,2026-06-22T14:10:07+00:00,False,295,0.5,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-10am-et,
bitcoin-up-or-down-june-22-2026-9am-et,"Bitcoin Up or Down - June 22, 9AM ET",True,Up,2026-06-22T14:00:00Z,89462.16744799989,0.255,0.9995,0.9995,True,2026-06-22T13:30:05+00:00,True,296,0.0005,0.745,0.0005,True,2026-06-22T13:50:04+00:00,False,296,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-9am-et,
bitcoin-up-or-down-june-22-2026-8am-et,"Bitcoin Up or Down - June 22, 8AM ET",True,Up,2026-06-22T13:00:00Z,95828.31679399985,0.445,0.9995,0.9995,False,,False,295,0.0005,0.555,0.0005,True,2026-06-22T12:30:06+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-8am-et,
bitcoin-up-or-down-june-22-2026-7am-et,"Bitcoin Up or Down - June 22, 7AM ET",True,Up,2026-06-22T12:00:00Z,54364.13144300004,0.485,0.9995,0.9995,False,,False,295,0.0005,0.515,0.0005,True,2026-06-22T11:10:04+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-7am-et,
bitcoin-up-or-down-june-22-2026-6am-et,"Bitcoin Up or Down - June 22, 6AM ET",True,Down,2026-06-22T11:00:00Z,17915.237577999986,0.0005,0.775,0.0005,True,2026-06-22T11:00:04+00:00,False,295,0.225,0.9995,0.9995,True,2026-06-22T10:10:04+00:00,True,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-6am-et,
bitcoin-up-or-down-june-22-2026-5am-et,"Bitcoin Up or Down - June 22, 5AM ET",True,Down,2026-06-22T10:00:00Z,14596.830579000012,0.0005,0.545,0.0005,True,2026-06-22T09:40:06+00:00,False,295,0.455,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-5am-et,
bitcoin-up-or-down-june-22-2026-4am-et,"Bitcoin Up or Down - June 22, 4AM ET",True,Down,2026-06-22T09:00:00Z,25815.31876799999,0.0005,0.625,0.0005,True,2026-06-22T08:40:04+00:00,False,295,0.375,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-4am-et,
bitcoin-up-or-down-june-22-2026-3am-et,"Bitcoin Up or Down - June 22, 3AM ET",True,Up,2026-06-22T08:00:00Z,49713.71950199999,0.48,0.9995,0.9995,False,,False,295,0.0005,0.52,0.0005,True,2026-06-22T07:10:04+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-3am-et,
bitcoin-up-or-down-june-22-2026-2am-et,"Bitcoin Up or Down - June 22, 2AM ET",True,Down,2026-06-22T07:00:00Z,47549.96630400002,0.0005,0.625,0.0005,True,2026-06-22T06:20:04+00:00,False,295,0.375,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-2am-et,
bitcoin-up-or-down-june-22-2026-1am-et,"Bitcoin Up or Down - June 22, 1AM ET",True,Up,2026-06-22T06:00:00Z,22995.859799000005,0.485,0.9995,0.9995,False,,False,295,0.0005,0.515,0.0005,True,2026-06-22T05:10:04+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-1am-et,
bitcoin-up-or-down-june-22-2026-12am-et,"Bitcoin Up or Down - June 22, 12AM ET",True,Up,2026-06-22T05:00:00Z,27381.783847999974,0.405,0.9995,0.9995,False,,False,295,0.0005,0.595,0.0005,True,2026-06-22T04:50:20+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-12am-et,
bitcoin-up-or-down-june-21-2026-11pm-et,"Bitcoin Up or Down - June 21, 11PM ET",True,Down,2026-06-22T04:00:00Z,33109.753828999965,0.0005,0.585,0.0005,True,2026-06-22T03:10:05+00:00,False,292,0.415,0.9995,0.9995,False,,False,292,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-11pm-et,
bitcoin-up-or-down-june-21-2026-10pm-et,"Bitcoin Up or Down - June 21, 10PM ET",True,Down,2026-06-22T03:00:00Z,29130.128855999967,0.0005,0.505,0.0005,True,2026-06-22T02:50:05+00:00,False,295,0.495,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-10pm-et,
bitcoin-up-or-down-june-21-2026-9pm-et,"Bitcoin Up or Down - June 21, 9PM ET",True,Up,2026-06-22T02:00:00Z,39941.713543999984,0.495,0.9995,0.9995,False,,False,295,0.0005,0.505,0.0005,True,2026-06-22T01:20:03+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-9pm-et,
bitcoin-up-or-down-june-21-2026-8pm-et,"Bitcoin Up or Down - June 21, 8PM ET",True,Up,2026-06-22T01:00:00Z,51007.61510499999,0.5,0.9995,0.9995,False,,False,295,0.0005,0.5,0.0005,True,2026-06-22T00:10:03+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-8pm-et,
bitcoin-up-or-down-june-21-2026-7pm-et,"Bitcoin Up or Down - June 21, 7PM ET",True,Down,2026-06-22T00:00:00Z,38851.22388399999,0.0005,0.53,0.0005,True,2026-06-21T23:30:04+00:00,False,295,0.47,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-7pm-et,
bitcoin-up-or-down-june-21-2026-6pm-et,"Bitcoin Up or Down - June 21, 6PM ET",True,Down,2026-06-21T23:00:00Z,28164.433417,0.0005,0.52,0.0005,True,2026-06-21T22:10:06+00:00,False,295,0.48,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-6pm-et,
bitcoin-up-or-down-june-21-2026-5pm-et,"Bitcoin Up or Down - June 21, 5PM ET",True,Down,2026-06-21T22:00:00Z,50500.617340999976,0.0005,0.735,0.0005,True,2026-06-21T21:10:04+00:00,False,295,0.265,0.9995,0.9995,True,2026-06-21T21:40:20+00:00,True,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-5pm-et,
bitcoin-up-or-down-june-21-2026-4pm-et,"Bitcoin Up or Down - June 21, 4PM ET",True,Down,2026-06-21T21:00:00Z,34715.201505,0.0005,0.525,0.0005,True,2026-06-21T20:20:06+00:00,False,295,0.475,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-4pm-et,
bitcoin-up-or-down-june-21-2026-3pm-et,"Bitcoin Up or Down - June 21, 3PM ET",True,Down,2026-06-21T20:00:00Z,19830.576573000028,0.0005,0.605,0.0005,True,2026-06-21T20:00:04+00:00,False,295,0.395,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-3pm-et,
bitcoin-up-or-down-june-21-2026-2pm-et,"Bitcoin Up or Down - June 21, 2PM ET",True,Up,2026-06-21T19:00:00Z,35836.92465199994,0.115,0.9995,0.9995,True,2026-06-21T18:10:06+00:00,True,295,0.0005,0.885,0.0005,True,2026-06-21T18:50:06+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-2pm-et,
bitcoin-up-or-down-june-21-2026-1pm-et,"Bitcoin Up or Down - June 21, 1PM ET",True,Up,2026-06-21T18:00:00Z,84910.99039599986,0.315,0.9995,0.9995,False,,False,295,0.0005,0.685,0.0005,True,2026-06-21T17:50:04+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-1pm-et,
bitcoin-up-or-down-june-21-2026-12pm-et,"Bitcoin Up or Down - June 21, 12PM ET",True,Down,2026-06-21T17:00:00Z,31369.211406999984,0.0005,0.51,0.0005,True,2026-06-21T16:40:19+00:00,False,295,0.49,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-12pm-et,
bitcoin-up-or-down-june-21-2026-11am-et,"Bitcoin Up or Down - June 21, 11AM ET",True,Up,2026-06-21T16:00:00Z,49106.58692599999,0.48,0.9995,0.9995,False,,False,295,0.0005,0.52,0.0005,True,2026-06-21T15:30:05+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-11am-et,
bitcoin-up-or-down-june-21-2026-10am-et,"Bitcoin Up or Down - June 21, 10AM ET",True,Down,2026-06-21T15:00:00Z,35358.41318400001,0.0005,0.515,0.0005,True,2026-06-21T14:20:04+00:00,False,295,0.485,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-10am-et,
bitcoin-up-or-down-june-21-2026-9am-et,"Bitcoin Up or Down - June 21, 9AM ET",True,Down,2026-06-21T14:00:00Z,34608.93286499999,0.0005,0.505,0.0005,True,2026-06-21T13:40:07+00:00,False,292,0.495,0.9995,0.9995,False,,False,292,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-9am-et,
bitcoin-up-or-down-june-21-2026-8am-et,"Bitcoin Up or Down - June 21, 8AM ET",True,Up,2026-06-21T13:00:00Z,41629.442071999954,0.029,0.9995,0.9995,True,2026-06-21T12:20:08+00:00,True,293,0.0005,0.971,0.0005,True,2026-06-21T13:00:04+00:00,False,293,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-8am-et,
bitcoin-up-or-down-june-21-2026-7am-et,"Bitcoin Up or Down - June 21, 7AM ET",True,Down,2026-06-21T12:00:00Z,91917.18974999996,0.0005,0.625,0.0005,True,2026-06-21T11:20:03+00:00,False,295,0.375,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-7am-et,
bitcoin-up-or-down-june-21-2026-6am-et,"Bitcoin Up or Down - June 21, 6AM ET",True,Up,2026-06-21T11:00:00Z,28243.856857000035,0.495,0.9995,0.9995,False,,False,295,0.0005,0.505,0.0005,True,2026-06-21T10:20:04+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-6am-et,
bitcoin-up-or-down-june-21-2026-5am-et,"Bitcoin Up or Down - June 21, 5AM ET",True,Up,2026-06-21T10:00:00Z,39583.84499199996,0.375,0.9995,0.9995,False,,False,295,0.0005,0.625,0.0005,True,2026-06-21T09:40:03+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-5am-et,
bitcoin-up-or-down-june-21-2026-4am-et,"Bitcoin Up or Down - June 21, 4AM ET",True,Down,2026-06-21T09:00:00Z,38010.393388000004,0.0005,0.54,0.0005,True,2026-06-21T08:20:05+00:00,False,295,0.46,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-4am-et,
bitcoin-up-or-down-june-21-2026-3am-et,"Bitcoin Up or Down - June 21, 3AM ET",True,Down,2026-06-21T08:00:00Z,22651.350404000015,0.0005,0.505,0.0005,True,2026-06-21T07:20:04+00:00,False,295,0.495,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-3am-et,
bitcoin-up-or-down-june-21-2026-2am-et,"Bitcoin Up or Down - June 21, 2AM ET",True,Up,2026-06-21T07:00:00Z,20925.12648700003,0.345,0.9995,0.9995,False,,False,295,0.0005,0.655,0.0005,True,2026-06-21T06:40:04+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-2am-et,
bitcoin-up-or-down-june-21-2026-1am-et,"Bitcoin Up or Down - June 21, 1AM ET",True,Down,2026-06-21T06:00:00Z,19450.006161000005,0.0005,0.885,0.0005,True,2026-06-21T06:00:08+00:00,False,294,0.115,0.9995,0.9995,True,2026-06-21T05:40:04+00:00,True,294,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-1am-et,
bitcoin-up-or-down-june-21-2026-12am-et,"Bitcoin Up or Down - June 21, 12AM ET",True,Down,2026-06-21T05:00:00Z,32553.710605000015,0.0005,0.895,0.0005,True,2026-06-21T05:00:04+00:00,False,291,0.105,0.9995,0.9995,True,2026-06-21T04:30:04+00:00,True,291,https://polymarket.com/event/bitcoin-up-or-down-june-21-2026-12am-et,
bitcoin-up-or-down-june-20-2026-11pm-et,"Bitcoin Up or Down - June 20, 11PM ET",True,Up,2026-06-21T04:00:00Z,44312.35889100001,0.485,0.9995,0.9995,False,,False,291,0.0005,0.515,0.0005,True,2026-06-21T03:20:04+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-11pm-et,
bitcoin-up-or-down-june-20-2026-10pm-et,"Bitcoin Up or Down - June 20, 10PM ET",True,Down,2026-06-21T03:00:00Z,23224.728748,0.0005,0.815,0.0005,True,2026-06-21T03:00:04+00:00,False,291,0.185,0.9995,0.9995,True,2026-06-21T02:50:04+00:00,True,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-10pm-et,
bitcoin-up-or-down-june-20-2026-9pm-et,"Bitcoin Up or Down - June 20, 9PM ET",True,Down,2026-06-21T02:00:00Z,21301.408623999992,0.0005,0.5,0.0005,True,2026-06-21T01:30:03+00:00,False,291,0.5,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-9pm-et,
bitcoin-up-or-down-june-20-2026-8pm-et,"Bitcoin Up or Down - June 20, 8PM ET",True,Down,2026-06-21T01:00:00Z,25931.251723999983,0.0005,0.525,0.0005,True,2026-06-21T00:20:03+00:00,False,290,0.475,0.9995,0.9995,False,,False,290,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-8pm-et,
bitcoin-up-or-down-june-20-2026-7pm-et,"Bitcoin Up or Down - June 20, 7PM ET",True,Up,2026-06-21T00:00:00Z,28679.239181999983,0.435,0.9995,0.9995,False,,False,291,0.0005,0.565,0.0005,True,2026-06-20T23:50:04+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-7pm-et,
bitcoin-up-or-down-june-20-2026-6pm-et,"Bitcoin Up or Down - June 20, 6PM ET",True,Up,2026-06-20T23:00:00Z,30458.549084999988,0.46,0.9995,0.9995,False,,False,290,0.0005,0.54,0.0005,True,2026-06-20T22:20:04+00:00,False,290,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-6pm-et,
